"","fullname","playerID","yearID","teamID","lgID","salary","percent_positive_ab","percent_NAB","PA","salary_per_NAB","salary_per_Good_AB","diff_salary_good_vs_bad","fit.cluster","team_payroll","total_salary_NAB","total_salary_GAB","W","diff_payroll"
"1","Jeff   Abbott","abbotje01",1998,"CHA","AL",175000,0.32046332046332,0.115830115830116,259,20270.2702702703,56081.0810810811,35810.8108108108,1,27740000,4330115.50211327,10899131.0336286,80,6569015.53151536
"2","Jeff   Abbott","abbotje01",2000,"CHA","AL",255000,0.35,0.166666666666667,240,42500,89250,46750,1,16075000,2584124.94450628,6507468.7173541,95,3923343.77284781
"3","Kurt   Abbott","abbotku01",1997,"FLO","NL",650000,0.322222222222222,0.27037037037037,270,175740.740740741,209444.444444444,33703.7037037037,1,26723500,4623714.53101908,10372036.6024436,92,5748322.07142456
"4","Kurt   Abbott","abbotku01",1994,"FLO","NL",109000,0.29810298102981,0.279132791327913,369,30425.4742547425,32493.2249322493,2067.75067750677,1,12721500,2147216.97242517,4695771.82043523,51,2548554.84801006
"5","Kurt   Abbott","abbotku01",1996,"FLO","NL",250000,0.309248554913295,0.30635838150289,346,76589.5953757226,77312.1387283237,722.543352601147,1,16305500,2629960.81831887,6407531.50344544,80,3777570.68512657
"6","Kurt   Abbott","abbotku01",2000,"NYN","NL",500000,0.297142857142857,0.302857142857143,175,151428.571428571,148571.428571429,-2857.14285714287,1,43620595,7348271.8129575,16578508.6445103,94,9230236.83155276
"7","Kurt   Abbott","abbotku01",1995,"FLO","NL",119000,0.334042553191489,0.246808510638298,470,29370.2127659574,39751.0638297872,10380.8510638298,1,10320500,1729623.93441468,4406820.43902205,67,2677196.50460737
"8","Kurt   Abbott","abbotku01",1998,"OAK","AL",1000000,0.333333333333333,0.274074074074074,135,274074.074074074,333333.333333333,59259.2592592592,1,5413000,1093542.75413589,1893840.60488001,74,800297.850744113
"9","Kurt   Abbott","abbotku01",1999,"COL","NL",900000,0.313531353135314,0.240924092409241,303,216831.683168317,282178.217821782,65346.5346534654,1,34265190,4787618.69730382,12937721.5582222,72,8150102.86091841
"10","Reggie   Abercrombie","abercre01",2006,"FLO","NL",327000,0.279569892473118,0.28673835125448,279,93763.4408602151,91419.3548387097,-2344.08602150538,1,4928000,1074736.06905275,1750581.1775482,78,675845.108495454
